name,credits,prereqs,coursenum,offeredin,description,department
"Advanced Accounting",4,null,ACC425,null,"Accounting for business combinations, consolidations, governmental accounting, partnership accounting, and fundaccounting.",
Auditing,4,null,ACC423,null,"Internal and external auditing procedures. Emphasis on the CPAï¿½s role to form the basis of opinion on a set of financialstatements.",
"Directed Study",4,null,ACC299,null,,
"Intermediate Accounting I",4,null,ACC322,null,"An analysis of financial accounting with emphasis on accounting theory pertaining to financial statements, incomeconcepts, valuation concepts, FASB statements, and other relevant issues as applied to assets.",
"Intermediate Accounting II",4,null,ACC323,null,"A continuation of ACC 322. An analysis of financial accounting with emphasis on accounting theory pertaining tofinancial statements, income concepts, valuation concepts, FASB statements, and other relevant issues as applied toliabilities and stockholdersï¿½ equity.",
"Introduction to Financial Accounting",4,null,ACC221,null,"Introduction to business activities, basic concepts and fundamentals of accounting, the accounting cycle, andpreparation of financial statements.",
"Introduction to Managerial Accounting",4,null,ACC222,null,"A continuation of ACC 221. Introduction to cost accounting for manufacturing. Basic concepts and fundamentals ofmanagerial accounting, planning and controlling processes, decision-making, and behavioral considerations.",
"Managerial Cost Accounting",4,null,ACC324,null,"Accounting tools for heavy manufacturing systems as well as for managerial decision making. Planning, budgeting,standard cost systems, as well as other quantitative and behavioral topics.",
"Tax Accounting",4,null,ACC326,null,"The more common and important provisions of planning and compliance for income taxes.",
Topics,4,null,ACC295,null,"Lectures, discussions, meetings with members of the staff or visiting faculty regarding research methodology andreadings in the areas of business administration.",
"Introduction to Financial Accounting",4,null,ACC221,null,"Introduction to business activities, basic concepts and fundamentals of accounting, the accounting cycle, andpreparation of financial statements.",
"Introduction to Managerial Accounting",4,null,ACC222,null,"A continuation of ACC 221. Introduction to cost accounting for manufacturing. Basic concepts and fundamentals ofmanagerial accounting, planning and controlling processes, decision-making, and behavioral considerations.",
Topics,4,null,ACC295,null,"Lectures, discussions, meetings with members of the staff or visiting faculty regarding research methodology andreadings in the areas of business administration.",
"Directed Study",4,null,ACC299,null,,
"Intermediate Accounting I",4,null,ACC322,null,"An analysis of financial accounting with emphasis on accounting theory pertaining to financial statements, incomeconcepts, valuation concepts, FASB statements, and other relevant issues as applied to assets.",
"Intermediate Accounting II",4,null,ACC323,null,"A continuation of ACC 322. An analysis of financial accounting with emphasis on accounting theory pertaining tofinancial statements, income concepts, valuation concepts, FASB statements, and other relevant issues as applied toliabilities and stockholdersï¿½ equity.",
"Managerial Cost Accounting",4,null,ACC324,null,"Accounting tools for heavy manufacturing systems as well as for managerial decision making. Planning, budgeting,standard cost systems, as well as other quantitative and behavioral topics.",
"Tax Accounting",4,null,ACC326,null,"The more common and important provisions of planning and compliance for income taxes.",
Auditing,4,null,ACC423,null,"Internal and external auditing procedures. Emphasis on the CPAï¿½s role to form the basis of opinion on a set of financialstatements.",
"Advanced Accounting",4,null,ACC425,null,"Accounting for business combinations, consolidations, governmental accounting, partnership accounting, and fundaccounting.",
Topics,4,null,ACC495,null,"This course is designed for Accounting and Finance majors who want to gain an understanding of accountinginformation systems. Introduction to the conceptual framework of accounting information systems using modeling todevelop and design of accounting system using flow charting tools, data and system analysis, implementation of controlsand relevant audit procedures. Course leverages Microsoft Access, Quickbooks modules and other technologies involvedin accounting cycles (A/R, payroll, purchasing, etc).",
"Independent Study/Research",4,null,ACC499,null,,
"Introduction to American Indian Studies",4,null,AIS105,null,"Designed to introduce students to the content areas of the American Indian Studies curriculum, this course includes anoverview of American Indian history, federal Indian policy, land issues, reservation and urban issues, cross-culturalinfluences, and American Indian literature, art, music, and language.",
"Contemporary American Indians",4,null,AIS205,null,"In this topics-oriented course, students focus on issues that face contemporary American Indians, including tribalsovereignty and identity politics, treaty rights, language retention and education, religious freedom, and Indian activism.",
"Native American Women and Film",4,null,AIS208,null,"This course explores Native American women in film history as racial representations in Hollywood cinema, as politicaland social forces in indigenous film, and as role models in documentary.",
"Women: A Cross-Cultural Perspective",4,null,AIS233,null,"This course examines a variety of issues concerning the biological, evolutionary, and historical origins of womenï¿½s rolesand status in society. Comparative roles of women are examined in tribal contexts across various indigenous cultures.Studies include the role of women in Native American and African tribes, peasant societies of eastern Europe, Mexico,the Middle East, and China.",
"American Indian in the Cinema",4,null,AIS264,null,"Indians in the Cinema surveys various images of American Indians created by Hollywood and television. Focusing onfilms from the 1910s to the present, the course provides an understanding of how American Indians were portrayed infilm historically, how this image has evolved over the past century, and how it is reflective of Western cultural and racialideologies.",
"Directed Study",4,null,AIS299,null,,
